Annee,Fenetre_Lookback,Jours_Entrainement,Levier,Capital_Fin,Performance
2020,1 An,252,2,731838.8324925358,-0.2681611675074642
2020,1 An,252,3,639312.0367492423,-0.3606879632507577
2020,1 An,252,4,576806.24569452,-0.42319375430548
2020,1 An,252,5,519110.3814154748,-0.48088961858452517
2020,1 An,252,6,454254.1502706592,-0.5457458497293408
2020,1 An,252,7,396758.79080682574,-0.6032412091931743
2020,1 An,252,8,325289.637422684,-0.674710362577316
2020,1 An,252,9,233786.29110879515,-0.7662137088912049
2020,1 An,252,10,128862.04000503758,-0.8711379599949625
2020,1 An,252,11,10117.169113892463,-0.9898828308861075
2020,1 An,252,12,-112972.3802282706,-1.1129723802282707
2020,1 An,252,13,-235613.0078077374,-1.2356130078077374
