,Close,High,Low,Open,Volume,"('Close', 'CADJPY=X')","('High', 'CADJPY=X')","('Low', 'CADJPY=X')","('Open', 'CADJPY=X')","('Volume', 'CADJPY=X')","('Close', 'CADJPY=X')","('High', 'CADJPY=X')","('Low', 'CADJPY=X')","('Open', 'CADJPY=X')","('Volume', 'CADJPY=X')"
2016-01-04,86.73999786376953,86.86699676513672,85.18800354003906,86.70999908447266,0.0,,,,,,,,,,
2016-01-05,85.70999908447266,86.10299682617188,85.11499786376953,85.72200012207031,0.0,,,,,,,,,,
2016-01-06,85.1449966430664,85.19200134277344,83.91999816894531,85.13999938964844,0.0,,,,,,,,,,
2016-01-07,84.27999877929688,84.41300201416016,82.91899871826172,84.29100036621094,0.0,,,,,,,,,,
2016-01-08,83.33000183105469,84.26100158691406,83.21099853515625,83.30999755859375,0.0,,,,,,,,,,
2016-01-11,82.53099822998047,83.87200164794922,82.45999908447266,82.52999877929688,0.0,,,,,,,,,,
2016-01-12,82.70999908447266,83.18499755859375,82.1989974975586,82.70999908447266,0.0,,,,,,,,,,
2016-01-13,82.62999725341797,83.4000015258789,82.61900329589844,82.64399719238281,0.0,,,,,,,,,,
2016-01-14,81.79000091552734,82.36100006103516,81.58000183105469,81.78299713134766,0.0,,,,,,,,,,
2016-01-15,82.39099884033203,82.4260025024414,80.4800033569336,82.41300201416016,0.0,,,,,,,,,,
2016-01-18,80.2300033569336,81.03600311279297,80.19999694824219,80.24299621582031,0.0,,,,,,,,,,
2016-01-19,80.69000244140625,81.79199981689453,80.60900115966797,80.69999694824219,0.0,,,,,,,,,,
2016-01-20,80.71800231933594,80.69200134277344,78.95999908447266,80.69200134277344,0.0,,,,,,,,,,
2016-01-21,80.91600036621094,81.91300201416016,80.12999725341797,80.98600006103516,0.0,,,,,,,,,,
2016-01-22,82.6259994506836,84.02400207519531,82.22899627685547,82.62000274658203,0.0,,,,,,,,,,
2016-01-25,83.8239974975586,84.09500122070312,83.13800048828125,83.81300354003906,0.0,,,,,,,,,,
2016-01-26,82.66999816894531,84.18599700927734,82.19999694824219,82.66999816894531,0.0,,,,,,,,,,
2016-01-27,83.83000183105469,84.33000183105469,83.43599700927734,83.8280029296875,0.0,,,,,,,,,,
2016-01-28,84.03900146484375,85.3010025024414,83.94000244140625,84.03399658203125,0.0,,,,,,,,,,
2016-01-29,84.73100280761719,86.90799713134766,84.41999816894531,84.71800231933594,0.0,,,,,,,,,,
2016-02-01,86.83000183105469,86.85900115966797,85.9010009765625,86.83000183105469,0.0,,,,,,,,,,
2016-02-02,86.61599731445312,86.68299865722656,85.41999816894531,86.59600067138672,0.0,,,,,,,,,,
2016-02-03,85.2300033569336,86.16500091552734,84.5739974975586,85.18000030517578,0.0,,,,,,,,,,
2016-02-04,85.62000274658203,86.197998046875,85.4000015258789,85.63600158691406,0.0,,,,,,,,,,
2016-02-05,84.93299865722656,85.29900360107422,84.51499938964844,84.9280014038086,0.0,,,,,,,,,,
2016-02-08,84.2239990234375,84.69100189208984,82.72000122070312,84.21499633789062,0.0,,,,,,,,,,
2016-02-09,83.0530014038086,83.63200378417969,81.93499755859375,83.0199966430664,0.0,,,,,,,,,,
2016-02-10,82.94000244140625,83.19000244140625,82.11000061035156,82.94000244140625,0.0,,,,,,,,,,
2016-02-11,81.3270034790039,81.52400207519531,79.34200286865234,81.30999755859375,0.0,,,,,,,,,,
2016-02-12,80.8239974975586,81.4020004272461,80.37200164794922,80.80999755859375,0.0,,,,,,,,,,
2016-02-15,82.13899993896484,82.80899810791016,81.87000274658203,82.12999725341797,0.0,,,,,,,,,,
2016-02-16,82.7030029296875,83.49099731445312,81.83999633789062,82.69499969482422,0.0,,,,,,,,,,
2016-02-17,82.2750015258789,83.4000015258789,81.5979995727539,82.33499908447266,0.0,,,,,,,,,,
2016-02-18,83.54000091552734,83.5510025024414,82.95999908447266,83.54000091552734,0.0,,,,,,,,,,
2016-02-19,82.41899871826172,82.45099639892578,81.54399871826172,82.45099639892578,0.0,,,,,,,,,,
2016-02-22,81.55999755859375,82.75800323486328,81.58999633789062,81.58999633789062,0.0,,,,,,,,,,
2016-02-23,82.43199920654297,82.44200134277344,81.07599639892578,82.4229965209961,0.0,,,,,,,,,,
2016-02-24,81.08000183105469,81.45700073242188,80.38999938964844,81.11000061035156,0.0,,,,,,,,,,
2016-02-25,81.7699966430664,83.06999969482422,81.55999755859375,81.7699966430664,0.0,,,,,,,,,,
2016-02-26,83.48200225830078,84.13300323486328,83.12999725341797,83.51399993896484,0.0,,,,,,,,,,
2016-02-29,83.9000015258789,84.0270004272461,83.1050033569336,83.91000366210938,0.0,,,,,,,,,,
2016-03-01,83.0199966430664,84.5199966430664,82.81700134277344,83.02999877929688,0.0,,,,,,,,,,
2016-03-02,84.85199737548828,85.19000244140625,84.2750015258789,84.83100128173828,0.0,,,,,,,,,,
2016-03-03,84.47100067138672,85.21399688720703,84.43000030517578,84.50399780273438,0.0,,,,,,,,,,
2016-03-04,84.75,85.18000030517578,84.38999938964844,84.76899719238281,0.0,,,,,,,,,,
2016-03-07,85.35199737548828,85.41000366210938,84.83999633789062,85.33000183105469,0.0,,,,,,,,,,
2016-03-08,85.33100128173828,85.37200164794922,83.8740005493164,85.37200164794922,0.0,,,,,,,,,,
2016-03-09,83.9530029296875,85.08599853515625,83.6520004272461,83.96900177001953,0.0,,,,,,,,,,
2016-03-10,85.4800033569336,86.13099670410156,85.16300201416016,85.45099639892578,0.0,,,,,,,,,,
2016-03-11,84.61599731445312,86.06999969482422,84.56999969482422,84.5790023803711,0.0,,,,,,,,,,
2016-03-14,85.94000244140625,86.22599792480469,85.38999938964844,85.93199920654297,0.0,,,,,,,,,,
2016-03-15,85.75700378417969,85.7770004272461,84.19999694824219,85.73400115966797,0.0,,,,,,,,,,
2016-03-16,84.66999816894531,85.26699829101562,84.5999984741211,84.6500015258789,0.0,,,,,,,,,,
2016-03-17,85.94400024414062,86.2229995727539,85.0,85.94999694824219,0.0,,,,,,,,,,
2016-03-18,85.72899627685547,86.23699951171875,85.36000061035156,85.74400329589844,0.0,,,,,,,,,,
2016-03-21,85.41000366210938,85.68599700927734,85.08000183105469,85.4000015258789,0.0,,,,,,,,,,
2016-03-22,85.62000274658203,85.88400268554688,84.7959976196289,85.6449966430664,0.0,,,,,,,,,,
2016-03-23,86.00399780273438,86.28700256347656,85.1989974975586,86.0,0.0,,,,,,,,,,
2016-03-24,85.07099914550781,85.34500122070312,84.57099914550781,85.11100006103516,0.0,,,,,,,,,,
2016-03-25,85.1050033569336,85.57099914550781,85.12100219726562,85.16200256347656,0.0,,,,,,,,,,
2016-03-28,85.46399688720703,85.9280014038086,85.37000274658203,85.46399688720703,0.0,,,,,,,,,,
