,Close,High,Low,Open,Volume,"('Close', 'EURCAD=X')","('High', 'EURCAD=X')","('Low', 'EURCAD=X')","('Open', 'EURCAD=X')","('Volume', 'EURCAD=X')"
2016-01-04,1.5046000480651855,1.5248099565505981,1.500480055809021,1.505560040473938,0,,,,,
2016-01-05,1.508389949798584,1.5092500448226929,1.4949300289154053,1.508430004119873,0,,,,,
2016-01-06,1.5035400390625,1.5169099569320679,1.5018999576568604,1.5036699771881104,0,,,,,
2016-01-07,1.5161199569702148,1.5394400358200073,1.515660047531128,1.5160000324249268,0,,,,,
2016-01-08,1.5407600402832031,1.5424599647521973,1.5219999551773071,1.5409599542617798,0,,,,,
2016-01-11,1.5515400171279907,1.5523600578308105,1.5297000408172607,1.5512399673461914,0,,,,,
2016-01-12,1.5440700054168701,1.5546799898147583,1.5365999937057495,1.5440599918365479,0,,,,,
2016-01-13,1.5456000566482544,1.5529600381851196,1.5333499908447266,1.545740008354187,0,,,,,
2016-01-14,1.5621999502182007,1.5742700099945068,1.5556199550628662,1.5623300075531006,0,,,,,
2016-01-15,1.5572999715805054,1.5907200574874878,1.5571999549865723,1.5571999549865723,0,,,,,
2016-01-18,1.5918699502944946,1.592460036277771,1.5762699842453003,1.5917799472808838,0,,,,,
2016-01-19,1.584280014038086,1.5858099460601807,1.5682799816131592,1.5842100381851196,0,,,,,
2016-01-20,1.5887900590896606,1.6102099418640137,1.5787700414657593,1.5893199443817139,0,,,,,
2016-01-21,1.5741699934005737,1.5872000455856323,1.5498000383377075,1.5735299587249756,0,,,,,
2016-01-22,1.5495100021362305,1.5513700246810913,1.5259100198745728,1.5494400262832642,0,,,,,
2016-01-25,1.5265799760818481,1.5417499542236328,1.5247000455856323,1.527109980583191,0,,,,,
2016-01-26,1.5515300035476685,1.556399941444397,1.5259699821472168,1.551759958267212,0,,,,,
2016-01-27,1.5338599681854248,1.5385099649429321,1.5271899700164795,1.5333800315856934,0,,,,,
2016-01-28,1.5369999408721924,1.5417100191116333,1.5215799808502197,1.536910057067871,0,,,,,
2016-01-29,1.534809947013855,1.5382000207901,1.514799952507019,1.5348999500274658,0,,,,,
2016-02-01,1.5125600099563599,1.5330599546432495,1.512619972229004,1.512619972229004,0,,,,,
2016-02-02,1.5199999809265137,1.5398399829864502,1.5199999809265137,1.5204499959945679,0,,,,,
2016-02-03,1.5353599786758423,1.541509985923767,1.5179100036621094,1.5358799695968628,0,,,,,
2016-02-04,1.5300699472427368,1.5386199951171875,1.522420048713684,1.530019998550415,0,,,,,
2016-02-05,1.5404000282287598,1.546820044517517,1.5339000225067139,1.5407299995422363,0,,,,,
2016-02-08,1.5470999479293823,1.556839942932129,1.5430699586868286,1.5471999645233154,0,,,,,
