Date,turnover
2010-12-23,2.0
2011-01-21,0.6313245248691429
2011-02-21,0.6828659717339359
2011-03-22,0.7712970218408686
2011-04-20,0.9294862954813911
2011-05-19,0.9678163362713923
2011-06-17,0.8266558346943842
2011-07-18,0.8061803001131409
2011-08-16,0.9544125974817714
2011-09-14,1.3049508615817134
2011-10-13,0.6225027011077906
2011-11-11,0.8063026782845497
2011-12-12,1.1806059878037813
2012-01-10,1.3289559320494226
2012-02-08,1.0880882431459489
2012-03-08,0.8926373154171587
2012-04-06,1.1011336725177405
2012-05-07,1.4918903995426835
2012-06-05,1.308634707663821
2012-07-04,1.5222209392368238
2012-08-02,1.414695159053195
2012-08-31,0.8521338082550969
2012-10-01,1.756412542227274
2012-10-30,1.0115260594349904
2012-11-28,0.7286909678335249
2012-12-27,1.4417026616210078
2013-01-25,2.0620330818835475
2013-02-25,1.757867365281639
2013-03-26,1.6943959708166028
2013-04-24,0.9290084548862956
2013-05-23,1.438165791125292
2013-06-21,2.0485718418546197
2013-07-22,1.0235797156334845
2013-08-20,0.7387934602770097
2013-09-18,0.8381283066649783
2013-10-17,0.5405092762072271
2013-11-15,0.4568655659831815
2013-12-16,0.3671515462255399
2014-01-14,0.6103312682997256
2014-02-12,0.6624715831895329
2014-03-13,0.5464599626735209
2014-04-11,0.4969397809717021
2014-05-12,0.7522789459286039
2014-06-10,1.1673506887172933
2014-07-09,1.0007747349573453
2014-08-07,1.1994925093031856
2014-09-05,0.8982148059961294
2014-10-06,0.7453130480395932
2014-11-04,0.36003864511891304
2014-12-03,0.42964844126706203
2015-01-01,0.5517513916602905
2015-01-30,1.4873746856555385
2015-03-02,0.4369829057116341
2015-03-31,0.6458848134986895
2015-04-29,0.4645036690902601
2015-05-28,0.6290847979129844
2015-06-26,0.7478452130975578
2015-07-27,0.5459670935049571
2015-08-25,0.5791151173519132
2015-09-23,0.3137861455070696
2015-10-22,0.5227945415344248
2015-11-20,1.1079113404985754
2015-12-21,0.8997386362423421
2016-01-19,1.6037152874211655
2016-02-17,1.0120092419049418
2016-03-17,0.666373328073109
2016-04-15,0.5118736220705942
2016-05-16,1.0466544226837258
2016-06-14,0.5473419839322993
2016-07-13,0.4983340052011802
2016-08-11,0.8971846568913437
2016-09-09,0.9010611830181072
2016-10-10,1.0026375371333909
2016-11-08,1.1270323548541739
2016-12-07,0.8967197949555175
2017-01-05,1.037764343382647
2017-02-03,0.9631194575915325
2017-03-06,0.773734373035567
2017-04-04,0.7004862452626255
2017-05-03,0.8105558837852744
2017-06-01,0.718808751559921
2017-06-30,1.1855464589003244
2017-07-31,1.2644425701146749
2017-08-29,1.1244039781504478
2017-09-27,1.2147093309472237
2017-10-26,0.7296859795988051
2017-11-24,0.7333072731537515
2017-12-25,0.6112374527800841
2018-01-23,0.3359702711450444
2018-02-21,0.5564293303987302
2018-03-22,0.9407838984020364
2018-04-20,0.4277710235599028
2018-05-21,0.6189483440304031
2018-06-19,0.7818710789505937
2018-07-18,0.8132498710813856
2018-08-16,0.9236693571327561
2018-09-14,0.7861100210719758
2018-10-15,0.8013186808355816
2018-11-13,1.4246646849809057
2018-12-12,0.9708884423083447
2019-01-10,1.1251224696552202
2019-02-08,1.4534674184764105
2019-03-11,1.2494253219493276
2019-04-09,2.5298665696977958
2019-05-08,2.192585246001019
2019-06-06,1.1806922012414294
2019-07-05,1.4651239502302544
2019-08-05,1.0358316323795043
2019-09-03,1.338473559314606
2019-10-02,0.9859883982467325
2019-10-31,1.8191132116320623
2019-11-29,0.8509982346971596
2019-12-30,1.6410259839308
2020-01-28,1.320310543195648
2020-02-26,0.5351637630756645
2020-03-26,1.417223691080306
2020-04-24,1.1658358390172352
2020-05-25,0.8616415632722519
2020-06-23,0.5222426118380619
2020-07-22,0.8592616869320202
2020-08-20,0.5124467692619076
2020-09-18,0.7649674214551115
2020-10-19,0.6376153616358746
2020-11-17,0.642399011938557
2020-12-16,0.52607651661177
2021-01-14,1.17365296569708
2021-02-12,0.6440398088892316
2021-03-15,1.6539521957355436
2021-04-13,1.4667053047629608
2021-05-12,1.486895367410127
2021-06-10,0.7469202785360654
2021-07-09,0.8256521978809542
2021-08-09,1.563283553757856
2021-09-07,0.8764001926610665
2021-10-06,1.5468509437743412
2021-11-04,1.058239958113938
2021-12-03,0.7011071760517951
2022-01-03,0.818635162312688
2022-02-01,0.6849806418183303
2022-03-02,0.7841497456680644
2022-03-31,0.617715975906753
2022-04-29,0.5831067470078887
2022-05-30,0.6562025506795574
2022-06-28,0.63218149318434
2022-07-27,0.6349993631220792
2022-08-25,0.3299383585744581
2022-09-23,0.573073392775776
2022-10-24,0.9394221427604146
2022-11-22,0.5039763710254024
2022-12-21,1.3354564462855234
2023-01-19,1.071714393730137
2023-02-17,0.5367218206532113
2023-03-20,0.7286892643029801
2023-04-18,0.6388311533025525
2023-05-17,0.5578566441040713
2023-06-15,0.6633541346612957
2023-07-14,0.4639548534213215
2023-08-14,0.215527326968796
2023-09-12,0.5864878292021957
2023-10-11,0.5942763961160535
2023-11-09,0.6932089020952563
2023-12-08,0.9534321089254868
2024-01-08,1.2969688997226183
2024-02-06,0.830679843206901
2024-03-06,0.7005459674156365
2024-04-04,0.8893637264030592
2024-05-03,1.0026232459485152
2024-06-03,1.212232509700876
2024-07-02,1.577162963319877
2024-07-31,1.3063725437938416
2024-08-29,1.3739386684274266
2024-09-27,0.8047558246231044
2024-10-28,0.842561691440995
2024-11-26,1.0623274174558506
2024-12-25,1.1758671584477072
2025-01-24,0.7266993744068464
