,Close,High,Low,Open,Volume,"('Close', 'USDTRY=X')","('High', 'USDTRY=X')","('Low', 'USDTRY=X')","('Open', 'USDTRY=X')","('Volume', 'USDTRY=X')","('Close', 'USDTRY=X')","('High', 'USDTRY=X')","('Low', 'USDTRY=X')","('Open', 'USDTRY=X')","('Volume', 'USDTRY=X')"
2016-01-04,2.9161500930786133,2.973870038986206,2.913789987564087,2.9164600372314453,0.0,,,,,,,,,,
2016-01-05,2.964319944381714,2.9904301166534424,2.9565000534057617,2.964240074157715,0.0,,,,,,,,,,
2016-01-06,2.9850399494171143,3.013469934463501,2.981800079345703,2.9858200550079346,0.0,,,,,,,,,,
2016-01-07,3.000999927520752,3.0267300605773926,2.9880599975585938,3.0015499591827397,0.0,,,,,,,,,,
2016-01-08,3.0004000663757324,3.0139000415802,2.9830000400543213,3.0004000663757324,0.0,,,,,,,,,,
2016-01-11,3.0348000526428223,3.037760019302368,3.0122199058532715,3.035449981689453,0.0,,,,,,,,,,
2016-01-12,3.034290075302124,3.0468900203704834,3.024440050125122,3.034359931945801,0.0,,,,,,,,,,
2016-01-13,3.0319600105285645,3.0320799350738525,3.0055201053619385,3.032000064849853,0.0,,,,,,,,,,
2016-01-14,3.027100086212158,3.040220022201538,3.0169999599456787,3.0269999504089355,0.0,,,,,,,,,,
2016-01-15,3.0234999656677246,3.047260046005249,3.021399974822998,3.02482008934021,0.0,,,,,,,,,,
2016-01-18,3.0500600337982178,3.0478200912475586,3.028899908065796,3.047260046005249,0.0,,,,,,,,,,
2016-01-19,3.034830093383789,3.044960021972656,3.019979953765869,3.034820079803467,0.0,,,,,,,,,,
2016-01-20,3.0374200344085693,3.06033992767334,3.035599946975708,3.0372800827026367,0.0,,,,,,,,,,
2016-01-21,3.040750026702881,3.052819967269897,3.025589942932129,3.039900064468384,0.0,,,,,,,,,,
2016-01-22,3.015929937362671,3.02101993560791,3.00440001487732,3.015749931335449,0.0,,,,,,,,,,
2016-01-25,3.002350091934204,3.021239995956421,2.9983999729156494,3.003870010375977,0.0,,,,,,,,,,
2016-01-26,3.0218100547790527,3.034369945526123,3.004930019378662,3.0218100547790527,0.0,,,,,,,,,,
2016-01-27,3.006769895553589,3.0164999961853027,2.987639904022217,3.007299900054932,0.0,,,,,,,,,,
2016-01-28,2.9990200996398926,3.001410007476806,2.967910051345825,2.9992001056671143,0.0,,,,,,,,,,
2016-01-29,2.969510078430176,2.9754600524902344,2.9557600021362305,2.969000101089477,0.0,,,,,,,,,,
2016-02-01,2.9544999599456787,2.976680040359497,2.952009916305542,2.954080104827881,0.0,,,,,,,,,,
2016-02-02,2.945349931716919,2.9600000381469727,2.943000078201294,2.945349931716919,0.0,,,,,,,,,,
2016-02-03,2.952660083770752,2.963550090789795,2.928999900817871,2.953579902648926,0.0,,,,,,,,,,
2016-02-04,2.9147000312805176,2.9251999855041504,2.8901000022888184,2.9142799377441406,0.0,,,,,,,,,,
2016-02-05,2.9116098880767822,2.9231200218200684,2.8983700275421143,2.912950038909912,0.0,,,,,,,,,,
2016-02-08,2.9143800735473637,2.9535601139068604,2.913130044937134,2.915060043334961,0.0,,,,,,,,,,
2016-02-09,2.9459099769592285,2.961750030517578,2.9309699535369877,2.9455299377441406,0.0,,,,,,,,,,
2016-02-10,2.9380500316619877,2.941499948501587,2.918760061264038,2.938149929046631,0.0,,,,,,,,,,
2016-02-11,2.919100046157837,2.9442598819732666,2.9159998893737797,2.920249938964844,0.0,,,,,,,,,,
2016-02-12,2.9306800365448,2.936500072479248,2.9205000400543213,2.929800033569336,0.0,,,,,,,,,,
2016-02-15,2.93530011177063,2.953510046005249,2.924999952316284,2.9351999759674072,0.0,,,,,,,,,,
2016-02-16,2.945719957351685,2.972520112991333,2.943000078201294,2.9483699798583984,0.0,,,,,,,,,,
2016-02-17,2.9763200283050537,2.983680009841919,2.946320056915283,2.976239919662476,0.0,,,,,,,,,,
2016-02-18,2.954900026321411,2.9689900875091557,2.9495999813079834,2.954930067062378,0.0,,,,,,,,,,
2016-02-19,2.9677999019622803,2.9746899604797363,2.955699920654297,2.9675700664520264,0.0,,,,,,,,,,
2016-02-22,2.9509599208831787,2.9536800384521484,2.9408700466156006,2.950599908828736,0.0,,,,,,,,,,
2016-02-23,2.9347000122070312,2.945230007171631,2.929500102996826,2.9349799156188965,0.0,,,,,,,,,,
2016-02-24,2.9410300254821777,2.951780080795288,2.9354701042175293,2.9410400390625,0.0,,,,,,,,,,
2016-02-25,2.935909986495972,2.9419500827789307,2.9196600914001465,2.936079978942871,0.0,,,,,,,,,,
2016-02-26,2.926820039749145,2.9614899158477783,2.9222400188446045,2.9268798828125,0.0,,,,,,,,,,
2016-02-29,2.987950086593628,2.9897499084472656,2.9545600414276123,2.9880099296569824,0.0,,,,,,,,,,
2016-03-01,2.9629499912261963,2.964760065078736,2.9407999515533447,2.9628500938415527,0.0,,,,,,,,,,
2016-03-02,2.9344899654388428,2.946929931640625,2.932300090789795,2.934920072555542,0.0,,,,,,,,,,
2016-03-03,2.925169944763184,2.932420015335083,2.9127700328826904,2.9247701168060303,0.0,,,,,,,,,,
2016-03-04,2.9099700450897217,2.9250199794769287,2.9050099849700928,2.910020112991333,0.0,,,,,,,,,,
2016-03-07,2.9048800468444824,2.930370092391968,2.903439998626709,2.904099941253662,0.0,,,,,,,,,,
2016-03-08,2.91540002822876,2.92947006225586,2.9103798866271973,2.915549993515014,0.0,,,,,,,,,,
2016-03-09,2.9117701053619385,2.9178199768066406,2.8915200233459477,2.91185998916626,0.0,,,,,,,,,,
2016-03-10,2.8930599689483643,2.899519920349121,2.875760078430176,2.892800092697144,0.0,,,,,,,,,,
2016-03-11,2.891050100326538,2.8920199871063232,2.8698599338531494,2.8910200595855717,0.0,,,,,,,,,,
2016-03-14,2.871809959411621,2.8862199783325195,2.868540048599243,2.8716399669647217,0.0,,,,,,,,,,
2016-03-15,2.8708200454711914,2.9110300540924072,2.8685998916625977,2.871119976043701,0.0,,,,,,,,,,
