Date,AUDJPY=X,AUDUSD=X,EURGBP=X,EURJPY=X,EURUSD=X,GBPUSD=X,NZDJPY=X,NZDUSD=X,USDCAD=X,USDCHF=X,USDJPY=X,USDMXN=X,USDNOK=X,USDSEK=X,USDTRY=X,USDZAR=X,EP_hard_ok,EP_msg
2010-12-23,0.25392484592658254,0.051139322324164425,0.04416258455260111,-0.25629160606020446,-0.14801782913789008,0.03915961333892816,-0.0779098068748363,0.0016804428271070767,0.04241522645091751,-0.17891818663208478,-0.12592138737655673,-0.04339836789804481,0.2916724465350796,-0.2525283294235668,0.08046303394310306,-0.11239697069833274,True,converged in 3 iters
2011-01-21,0.1855113287579569,0.015122516872096332,0.05432238974650457,-0.2402578735772276,-0.11945610817923971,0.07483285815134039,-0.05401058172991565,0.06338562678223997,-0.03682478578825261,-0.14331826152501254,-0.11018857905331685,-0.09031620335715244,0.31452726120318397,-0.30785408512095375,0.12666387080337435,-0.06340766935223249,True,converged in 3 iters
2011-02-21,0.17341878601037242,0.011480274658212424,-0.0609490567900124,-0.2217456102932738,-0.10312907899185979,0.15755832941118314,-0.0045619236283961145,0.05869241656548775,0.023655091810629213,-0.21302291542048515,-0.055941460874019924,-0.062401126307545025,0.32826601781446124,-0.3689051433701496,0.12945295724194,0.026819810811972225,True,converged in 3 iters
2011-03-22,0.24088540233295355,0.0013935759909533356,0.004871546826446215,-0.22896867347589764,-0.03582028594059221,0.17126346201901785,-0.1540903808404321,0.005678685069323911,-0.01565798547172109,-0.15279883914776266,-0.14488376127535635,-0.055891283956082845,0.25447722833725683,-0.36561252317840853,0.15687526018295614,-0.01083110595483857,True,converged in 3 iters
2011-04-20,0.17569811286135575,0.061700345278582265,0.03680024610576169,-0.15630097493756237,0.04306327574492218,0.14238996733232576,-0.0652663626587031,-0.014044771137154785,-0.05441146097485994,-0.19636604161230975,-0.13163825499487397,-0.07599638193336825,0.30046736763623666,-0.21116635360646574,0.23067343103446425,-0.10401665215105356,True,converged in 3 iters
2011-05-19,0.20241135859485354,0.19956115103160493,0.02119868573868633,-0.06969408162725725,0.10739165133964754,0.1348244043447257,-0.08130082548817472,-0.03086875566464814,0.043199887228259404,-0.30224854986556854,-0.03345125555977614,-0.13026617768904217,0.30305757278562584,-0.11777475550470747,0.20654599022651837,0.01620489731090416,True,converged in 3 iters
2011-06-17,0.17092269074976285,0.2666491740935301,0.12775506368887685,-0.022310841940171265,0.1360507080293555,0.0860246278123664,-0.04910780714387205,0.018537119419392525,-0.008155586241175773,-0.2714356741427888,-0.039361700469549385,-0.15524516827180146,0.28202350257178516,-0.006432026706785956,0.30457462156585674,-0.05541368715292914,True,converged in 3 iters
2011-07-18,0.16354133429993944,0.22750029022812876,0.11223294697985407,-0.02625282039593947,0.013570228735528007,0.004663103159252461,-0.02141248104451437,0.08994364881674624,-0.1582305950291145,-0.3322238933930241,-0.004958125011745806,-0.19552541615334423,0.2361502126916198,0.030938500585580026,0.35023428726400846,-0.03262211621166023,True,converged in 3 iters
2011-08-16,0.11337038155651448,0.20370739125635698,0.11380440841219304,-0.0010853498258367982,0.12702674665606853,0.07328958556802366,0.006136306533642575,0.1382347352751408,-0.10872827323727341,-0.2045023050630497,-0.04194101322179174,-0.17304234542637187,0.11181681434099598,0.07722559533349642,0.4326408969065457,0.07344785138669838,True,converged in 3 iters
2011-09-14,0.04283806641524929,0.28999833158833904,0.12074843419765838,-0.07786121423663186,0.09454337027357339,0.03745508282335769,-0.024743184320314,0.2240586197762907,-0.151512967677065,-0.019724065711290522,0.005168490795395845,-0.0040894823521308065,-0.08965058774039854,0.15927719632109713,0.5036646426562962,0.15466626311491133,True,converged in 3 iters
2011-10-13,0.038928287986279585,0.25966256744968624,0.08643553114169793,-0.07261138713828309,0.06217045285299016,0.0748574399234287,0.02512530186081856,0.19717270433379266,-0.061084122295726746,-0.012757497233464392,0.011441252333713209,0.09678883888195136,-0.1882909599860538,0.1462091290522652,0.5506863615833781,0.1157781659464704,True,converged in 3 iters
2011-11-11,0.10093173305126668,0.30319030942879166,0.04122500275920314,-0.1323943259869278,0.05201194038440467,0.039799888025489026,-0.1397480827481624,0.1275439940964892,-0.02647533783281892,-0.01612998723964986,0.042241508454207884,0.09554444001189871,-0.19015913533693038,0.006348836476816846,0.5084291031966539,0.17782637497028872,True,converged in 3 iters
2011-12-12,0.01966149378458977,0.2945319733794609,0.09148694060540695,-0.03955859716801116,0.17315459201377506,0.14710758987105912,-0.06507828777016526,0.1310193300975857,-0.03488569711273466,0.043433015320655514,-0.0553896605892391,0.08274000030688654,-0.08116623631099985,0.1465759916247983,0.35572904283248524,0.23848155121214681,True,converged in 3 iters
2012-01-10,0.14619995313124828,0.3550889021806909,0.07356033592482386,-0.1890389186176353,0.07878325005395853,-0.060259742695288054,-0.10086350899879691,0.14182543968841857,0.08909434330420397,0.03438739140408818,-0.04032775622194298,0.13089199327458367,0.007460843322956747,0.019995325390285087,0.4320730461500733,0.10014924964100536,True,converged in 3 iters
2012-02-08,0.09760862712206513,0.2687065351345351,0.10813469753916827,-0.19413048518562934,0.09893717829134016,-0.050557642749201125,-0.02667474210234384,0.2472604140347509,0.1827906414146857,0.00901623540344951,-0.0676576345072842,0.03619068008497035,-0.06358984145395741,0.21416859834742696,0.3224899702361242,0.012086076393068003,True,converged in 3 iters
