,Close,High,Low,Open,Volume,"('Close', 'USDSEK=X')","('High', 'USDSEK=X')","('Low', 'USDSEK=X')","('Open', 'USDSEK=X')","('Volume', 'USDSEK=X')"
2016-01-04,8.437800407409668,8.495400428771973,8.393759727478027,8.4404296875,0,,,,,
2016-01-05,8.492609977722168,8.63325023651123,8.48412036895752,8.50082015991211,0,,,,,
2016-01-06,8.58965015411377,8.612719535827637,8.572680473327637,8.580880165100098,0,,,,,
2016-01-07,8.588509559631348,8.593469619750977,8.520219802856445,8.5756196975708,0,,,,,
2016-01-08,8.464349746704102,8.574600219726562,8.450639724731445,8.462909698486328,0,,,,,
2016-01-11,8.49116039276123,8.54065990447998,8.485179901123047,8.491100311279297,0,,,,,
2016-01-12,8.538590431213379,8.562660217285156,8.508879661560059,8.539239883422852,0,,,,,
2016-01-13,8.532400131225586,8.566499710083008,8.51039981842041,8.523070335388184,0,,,,,
2016-01-14,8.521300315856934,8.56460952758789,8.494669914245605,8.520899772644043,0,,,,,
2016-01-15,8.550800323486328,8.575799942016602,8.525429725646973,8.54242992401123,0,,,,,
2016-01-18,8.575429916381836,8.604840278625488,8.567230224609375,8.575810432434082,0,,,,,
2016-01-19,8.586020469665527,8.597029685974121,8.530940055847168,8.588290214538574,0,,,,,
2016-01-20,8.53279972076416,8.599590301513672,8.510749816894531,8.524120330810547,0,,,,,
2016-01-21,8.593649864196777,8.654279708862305,8.556699752807617,8.58430004119873,0,,,,,
2016-01-22,8.561570167541504,8.588700294494629,8.530200004577637,8.561140060424805,0,,,,,
2016-01-25,8.578100204467773,8.586469650268555,8.550780296325684,8.576970100402832,0,,,,,
2016-01-26,8.558449745178223,8.574999809265137,8.544329643249512,8.54856014251709,0,,,,,
2016-01-27,8.543560028076172,8.558799743652344,8.483280181884766,8.545499801635742,0,,,,,
2016-01-28,8.501279830932617,8.538920402526855,8.492300033569336,8.501799583435059,0,,,,,
2016-01-29,8.503230094909668,8.614419937133789,8.467679977416992,8.49413013458252,0,,,,,
2016-02-01,8.589159965515137,8.588910102844238,8.51101016998291,8.588910102844238,0,,,,,
2016-02-02,8.524709701538086,8.58353042602539,8.514820098876953,8.517060279846191,0,,,,,
2016-02-03,8.549610137939453,8.581100463867188,8.47035026550293,8.55053997039795,0,,,,,
2016-02-04,8.43949031829834,8.454099655151367,8.360600471496582,8.432999610900879,0,,,,,
2016-02-05,8.398619651794434,8.482720375061035,8.381710052490234,8.398019790649414,0,,,,,
2016-02-08,8.4621000289917,8.501859664916992,8.408430099487305,8.461999893188477,0,,,,,
2016-02-09,8.448760032653809,8.48639965057373,8.384149551391602,8.449259757995605,0,,,,,
2016-02-10,8.413200378417969,8.487299919128418,8.400300025939941,8.413000106811523,0,,,,,
2016-02-11,8.370209693908691,8.472999572753906,8.339460372924805,8.368209838867188,0,,,,,
2016-02-12,8.37285041809082,8.437520027160645,8.354280471801758,8.372599601745605,0,,,,,
2016-02-15,8.422109603881836,8.508660316467285,8.404350280761719,8.420860290527344,0,,,,,
2016-02-16,8.470680236816406,8.517000198364258,8.456769943237305,8.469400405883789,0,,,,,
2016-02-17,8.503499984741211,8.532190322875977,8.46205997467041,8.503600120544434,0,,,,,
2016-02-18,8.516610145568848,8.515250205993652,8.445599555969238,8.515250205993652,0,,,,,
2016-02-19,8.445130348205566,8.48114013671875,8.422900199890137,8.446869850158691,0,,,,,
2016-02-22,8.442540168762207,8.502949714660645,8.439900398254395,8.442150115966797,0,,,,,
2016-02-23,8.496049880981445,8.50730037689209,8.467829704284668,8.497300148010254,0,,,,,
2016-02-24,8.47704029083252,8.548139572143555,8.476940155029297,8.477740287780762,0,,,,,
2016-02-25,8.48865032196045,8.537960052490234,8.469200134277344,8.488439559936523,0,,,,,
2016-02-26,8.49685001373291,8.54640007019043,8.460359573364258,8.490119934082031,0,,,,,
2016-02-29,8.558910369873047,8.584449768066406,8.5178804397583,8.55718994140625,0,,,,,
2016-03-01,8.555760383605957,8.64426040649414,8.544650077819824,8.558170318603516,0,,,,,
2016-03-02,8.612489700317383,8.645779609680176,8.597900390625,8.605090141296387,0,,,,,
2016-03-03,8.60813045501709,8.623200416564941,8.559679985046387,8.609000205993652,0,,,,,
2016-03-04,8.530579566955566,8.548009872436523,8.465900421142578,8.531060218811035,0,,,,,
2016-03-07,8.482560157775879,8.532309532165527,8.476810455322266,8.483449935913086,0,,,,,
2016-03-08,8.473719596862793,8.518619537353516,8.455860137939453,8.473950386047363,0,,,,,
2016-03-09,8.492349624633789,8.514849662780762,8.42434024810791,8.491900444030762,0,,,,,
2016-03-10,8.451499938964844,8.544099807739258,8.377129554748535,8.450510025024414,0,,,,,
2016-03-11,8.372989654541016,8.402959823608398,8.332799911499023,8.347249984741211,0,,,,,
2016-03-14,8.33530044555664,8.36361026763916,8.331439971923828,8.334239959716797,0,,,,,
2016-03-15,8.345040321350098,8.36279010772705,8.307700157165527,8.344980239868164,0,,,,,
2016-03-16,8.317150115966797,8.347490310668945,8.313779830932617,8.314940452575684,0,,,,,
2016-03-17,8.232430458068848,8.235581398010254,8.133440017700195,8.233320236206055,0,,,,,
2016-03-18,8.180399894714355,8.2252197265625,8.161029815673828,8.180529594421387,0,,,,,
2016-03-21,8.225391387939453,8.250651359558105,8.206060409545898,8.22568130493164,0,,,,,
2016-03-22,8.227109909057617,8.282699584960938,8.20911979675293,8.230609893798828,0,,,,,
2016-03-23,8.22266960144043,8.273171424865723,8.219550132751465,8.22344970703125,0,,,,,
2016-03-24,8.267669677734375,8.311059951782227,8.255499839782715,8.267250061035156,0,,,,,
2016-03-25,8.298959732055664,8.309840202331543,8.285019874572754,8.300849914550781,0,,,,,
2016-03-28,8.311240196228027,8.31779956817627,8.262200355529785,8.311599731445312,0,,,,,
2016-03-29,8.277159690856934,8.298999786376953,8.255749702453613,8.277620315551758,0,,,,,
2016-03-30,8.193550109863281,8.200779914855957,8.127650260925293,8.195199966430664,0,,,,,
2016-03-31,8.132499694824219,8.161979675292969,8.085559844970703,8.13286018371582,0,,,,,
2016-04-01,8.117500305175781,8.150300025939941,8.078080177307129,8.117199897766113,0,,,,,
