,Close,High,Low,Open,Volume,"('Close', 'EURJPY=X')","('High', 'EURJPY=X')","('Low', 'EURJPY=X')","('Open', 'EURJPY=X')","('Volume', 'EURJPY=X')"
2016-01-04,130.5760040283203,130.6300048828125,128.9080047607422,130.5500030517578,0,,,,,
2016-01-05,129.3000030517578,129.45599365234375,127.51000213623047,129.2989959716797,0,,,,,
2016-01-06,128.03199768066406,128.05999755859375,127.0199966430664,128.03700256347656,0,,,,,
2016-01-07,127.80400085449219,128.21200561523438,126.83999633789062,127.81999969482422,0,,,,,
2016-01-08,128.41799926757812,128.94000244140625,128.08399963378906,128.4080047607422,0,,,,,
2016-01-11,128.06900024414062,128.44000244140625,127.37999725341797,128.02999877929688,0,,,,,
2016-01-12,127.7300033569336,127.99199676513672,127.6500015258789,127.75599670410156,0,,,,,
2016-01-13,127.7699966430664,128.50799560546875,127.63999938964844,127.76000213623047,0,,,,,
2016-01-14,127.80999755859375,128.7429962158203,127.73200225830078,127.80000305175781,0,,,,,
2016-01-15,128.32899475097656,128.375,127.70700073242188,128.35699462890625,0,,,,,
2016-01-18,127.75,127.93000030517578,127.36900329589844,127.73999786376953,0,,,,,
2016-01-19,127.86000061035156,128.54800415039062,127.78700256347656,127.86000061035156,0,,,,,
2016-01-20,128.26199340820312,128.33599853515625,126.69200134277344,128.25999450683594,0,,,,,
2016-01-21,127.38800048828125,127.76499938964844,126.22000122070312,127.44000244140625,0,,,,,
2016-01-22,128.0399932861328,128.4080047607422,127.44000244140625,128.04800415039062,0,,,,,
2016-01-25,128.02000427246094,128.48800659179688,127.85299682617188,128.0,0,,,,,
2016-01-26,128.2949981689453,128.5070037841797,127.80999755859375,128.30999755859375,0,,,,,
2016-01-27,128.58999633789062,129.21200561523438,128.26400756835938,128.5800018310547,0,,,,,
2016-01-28,129.15199279785156,129.98599243164062,128.94700622558594,129.16000366210938,0,,,,,
2016-01-29,130.0399932861328,132.24400329589844,129.60000610351562,130.04400634765625,0,,,,,
2016-02-01,131.3699951171875,131.99200439453125,131.27000427246094,131.36399841308594,0,,,,,
2016-02-02,131.6699981689453,131.9510040283203,131.02999877929688,131.67799377441406,0,,,,,
2016-02-03,130.88099670410156,130.94000244140625,130.13900756835938,130.86099243164062,0,,,,,
2016-02-04,131.02000427246094,131.63499450683594,130.63499450683594,131.06199645996094,0,,,,,
2016-02-05,130.8699951171875,131.01499938964844,130.21200561523438,130.86000061035156,0,,,,,
2016-02-08,130.32200622558594,130.88699340820312,128.8040008544922,130.32000732421875,0,,,,,
