Date,ret
2010-12-23,-0.002
2010-12-24,0.00038617473572103984
2010-12-27,-0.00040284348783531994
2010-12-28,-0.00023782809231090527
2010-12-29,0.0058906148864478515
2010-12-30,0.00023048122183763706
2010-12-31,0.00028224249988770397
2011-01-03,0.00020654761355952704
2011-01-04,-0.002261713511991989
2011-01-05,-0.004978202421716189
2011-01-06,-0.003430078138547948
2011-01-07,0.0008705169148467383
2011-01-10,0.0029634146961830246
2011-01-11,-0.0006326241250530521
2011-01-12,-0.007437614122882229
2011-01-13,0.0029572571477936085
2011-01-14,-0.005971196527078426
2011-01-17,-0.004183703058164936
2011-01-18,0.002403366522986246
2011-01-19,-0.00014481655834913318
2011-01-20,0.0008931912176302979
2011-01-21,-0.005719564758113211
2011-01-24,-0.0005607492665974014
2011-01-25,0.0010267770344781454
2011-01-26,0.002119601003004736
2011-01-27,0.0032967037326783874
2011-01-28,-0.0019664096170941238
2011-01-31,0.004518555990469786
2011-02-01,0.0006570080348480513
2011-02-02,0.001979603658922812
2011-02-03,-0.0032877559201439717
2011-02-04,0.0031003178708549203
2011-02-07,-0.0023560337152115063
2011-02-08,0.0006963988840905664
2011-02-09,-0.0009475431678519965
2011-02-10,-0.002153718229423174
2011-02-11,-0.0007274366158419388
2011-02-14,0.0010820680338912395
2011-02-15,-0.00033579081842353324
2011-02-16,-0.0007654865643993474
2011-02-17,-0.001938565245709682
2011-02-18,0.002480549223831038
2011-02-21,-0.0016034712317365717
2011-02-22,-0.001492039061122142
2011-02-23,-0.002286764730807623
2011-02-24,0.002261240807993725
2011-02-25,-3.678334049534294e-05
2011-02-28,0.000221518715494997
2011-03-01,0.0038112215890241975
2011-03-02,0.0013251271172761562
2011-03-03,-0.0025086227168392046
2011-03-04,-0.007551065358856653
2011-03-07,-0.0012069411762838155
2011-03-08,-0.0015911468734016274
2011-03-09,-0.001270875470013544
2011-03-10,0.0016851184345404416
2011-03-11,0.0007573163780118337
2011-03-14,0.001766482803019562
2011-03-15,-0.0024657059220509485
2011-03-16,-0.0017189322080602225
2011-03-17,0.003768173235486237
2011-03-18,0.0008303962962992345
2011-03-21,0.00034102782560448304
2011-03-22,-0.0024155288099002607
2011-03-23,0.00018079367538724185
2011-03-24,-0.0008173986861442161
2011-03-25,-0.004501984266072687
2011-03-28,-0.0020491182291767947
2011-03-29,-0.0012876519135920634
2011-03-30,-0.0007036077519855216
2011-03-31,-0.002264253870686542
2011-04-01,-0.00335900202600875
2011-04-04,-0.0064940656958448265
2011-04-05,-0.0013610019354346082
2011-04-06,-0.0038810394956309184
2011-04-07,-0.0010405020150763295
2011-04-08,0.001642478588954022
2011-04-11,0.0029966611712679415
2011-04-12,0.0008071614850728441
2011-04-13,0.0008327246530106748
2011-04-14,0.002725640187664717
2011-04-15,0.0002587093447310311
2011-04-18,0.0022572647930446774
2011-04-19,0.006418158071052937
2011-04-20,-0.0016266638795507753
2011-04-21,0.0035110382911164692
2011-04-22,0.005236500267166148
2011-04-25,0.00010866315468588406
2011-04-26,0.001590585877838372
2011-04-27,0.0015322644028433396
2011-04-28,0.0001808682444981414
2011-04-29,0.003589889219029978
2011-05-02,0.0024816263676026786
2011-05-03,-0.0009772318164918388
2011-05-04,0.0004927776625963513
2011-05-05,0.0010580533475964362
2011-05-06,-0.0005005447146281764
2011-05-09,0.0013124527273173617
2011-05-10,0.004119231422822384
2011-05-11,-0.004511495738087719
2011-05-12,0.0004962164013874223
2011-05-13,-0.0032092584559348255
2011-05-16,-0.0023717715367108736
2011-05-17,0.00366395306132183
2011-05-18,0.0005900984000758614
2011-05-19,-0.0034152005496166215
2011-05-20,-1.5549453951768655e-05
2011-05-23,0.0016360901657949227
2011-05-24,-0.0027114213368503036
2011-05-25,0.000815925212364278
2011-05-26,0.0031676859985743286
2011-05-27,0.003747834475074081
2011-05-30,0.005881761846633374
2011-05-31,-0.0009862510059676457
2011-06-01,-0.0073793130530301195
2011-06-02,0.006561662903474878
2011-06-03,-0.0038241785915944545
2011-06-06,0.0037009906449037974
2011-06-07,0.00210486303108111
2011-06-08,-0.004741997998150702
2011-06-09,0.0008558347489933001
2011-06-10,-0.006439362475900661
2011-06-13,-0.0009398724611193168
2011-06-14,0.003477431450644172
2011-06-15,-0.0018334863618294157
2011-06-16,0.0012059584000713146
2011-06-17,-0.0007503195231390523
2011-06-20,0.0007722970277588581
2011-06-21,0.004816383714691623
2011-06-22,0.00258067469128614
2011-06-23,-0.0034852062607963075
2011-06-24,-0.0003334684289770962
2011-06-27,0.00041119372863150823
2011-06-28,0.001378551412417853
2011-06-29,0.00493617762002744
2011-06-30,0.0014262492484538036
2011-07-01,0.00140988225693125
2011-07-04,-0.002531369005876572
2011-07-05,-0.0010895733189873096
2011-07-06,0.002059133696781859
2011-07-07,0.0028868183190790026
2011-07-08,-0.002782556705090449
2011-07-11,0.00034248378327778083
2011-07-12,0.0003005473383772936
2011-07-13,0.00401770320940434
2011-07-14,0.011369523069074825
2011-07-15,-0.003559213378303828
2011-07-18,-0.00030679679137939314
2011-07-19,-0.0025569593075880455
2011-07-20,0.0018654438128122577
2011-07-21,0.002346865909020485
2011-07-22,0.0021337729049172157
2011-07-25,0.008587366796804273
2011-07-26,0.006128888002778032
2011-07-27,0.00029604439997093883
2011-07-28,0.0018420397316795702
2011-07-29,-0.00627229256782001
2011-08-01,0.0066867918510791005
2011-08-02,-0.0012761331262961374
2011-08-03,0.004527326967042848
2011-08-04,-0.012090354229960559
2011-08-05,0.004913987043059322
2011-08-08,-0.009066641334957236
