,AUDJPY=X,AUDUSD=X,EURGBP=X,EURJPY=X,EURUSD=X,GBPUSD=X,NZDJPY=X,NZDUSD=X,USDCAD=X,USDCHF=X,USDJPY=X,USDMXN=X,USDNOK=X,USDSEK=X,USDSGD=X,USDTRY=X,USDZAR=X,STRATEGY
2018-01-02,0.0005988830103514912,-0.00015708117978241597,0.0008706989270676436,0.0014461948643305757,0.00046193456444039216,-0.00040910685668485506,0.0001728335765922308,-0.0036252750816526953,-0.002058662197687861,0.0010928722226059245,0.0009611445743407782,-0.007958426197294656,-0.0012176009859467473,-2.6483594716870555e-06,-7.48067262569263e-05,-0.0012525120850097487,0.005207772496059805,0.0
2018-01-03,-0.00029989675935293634,0.00419796482298229,-0.0019875441019589534,-0.00032059611482220126,0.00422818743341431,0.0062236628185345635,-0.002706182709596021,0.0016866233707697193,-0.00407789814868404,-0.0032683766171927903,-0.004626206994996206,-0.007653134930274042,-0.009078167537232278,-0.00270448278719478,-0.005864340915920363,-0.006977485999511079,0.0036937515984958873,0.0
2018-01-04,0.00260097940003312,-0.0007212168281273149,0.0017959375439588433,-0.0012660633671349052,-0.004486415160496904,-0.006300079158751888,0.0016040462117498946,-0.0014213116638915051,0.0034310444039378713,0.005923085575179867,0.0032721117712138487,-0.0024301103920530537,-0.0018350985106862438,0.0029578670142085635,0.0010383925392882798,0.0037322663539075657,-0.006231873911953844,0.0
2018-01-05,0.00622564622646482,0.00450507474131656,0.00158994178726662,0.006533765028816042,0.00477311444969748,0.003018649707237724,0.01120133240883134,0.009271032578689303,-0.00451900088141794,-0.0027279373805719526,0.0016010075749602454,-0.007036794993391782,-0.004791137949020245,-0.005877569230535025,-0.0027359787250437195,-0.008273774339227257,-0.0062017469582051335,0.0
2018-01-08,0.0029396998569105595,-0.0003704077342688864,-0.004186027116226569,0.0005624850062871513,-0.0026906109185910626,0.001639259281696253,0.005364669076776325,0.00200463119143432,-0.007781877200375659,0.0007535326790996349,0.003327617654612936,0.0007954167593486212,-0.0029459026238295924,0.0017163671498213,-0.00020350395170554147,-0.005029454267935429,0.00044739631049567406,0.0
2018-01-09,-0.001836672889584446,-0.0016647568087658786,-0.005207014176687068,-0.005678598488558605,-0.005656858743552528,-0.0003971974307470934,0.000503804418026972,0.0006856119346030093,0.0017188124476681882,0.002445314064289185,-7.679675298215497e-05,0.0025890628703308266,0.003947486094317783,0.007157854203944584,0.0038219800246952484,0.0028433610268782223,0.006019732792234723,0.0
2018-01-10,-0.007811350476625623,-0.004781203215729281,-0.0006194194239911898,-0.006914265799553719,-0.003526197433209965,-0.0029266472672141728,-0.0075309127109220156,-0.004318473875394329,0.004712440438310588,0.006634610064289916,-0.003373590984145291,0.0008023525468189736,0.0048228561938969475,0.003965427614939269,0.0033794169702252574,0.006298108370435107,-0.0035371127986590363,0.0
2018-01-11,-0.006987826044802193,0.004675976392631729,0.003600015017291176,-0.009437695068299211,0.0021571443813255937,-0.0015036689662424614,-0.0029945705027776535,0.008666302377140916,0.0045939267708657245,-0.006154917624401544,-0.011588857368988336,-0.0026222351037551,-0.005459683140809406,-0.005241717826252231,-0.002095642414596033,0.007784037383990261,0.006864269181626804,0.0
2018-01-12,0.0036436032263708054,0.004888304780941264,0.004943097027887806,0.00579913898217106,0.00709859106650208,0.002095363332565741,0.006225252521399467,0.007526446835056628,-0.0009336353760660061,-0.0019490810643822726,-0.0013078859322709795,-0.009640403012767208,-0.007549909347638821,-0.008234992584205755,-0.0030075467625777508,-0.0068718923030956945,-0.0035012872701191684,0.0
2018-01-15,0.0011693481056985749,0.0029096687573130207,-0.001627058959456422,0.010682583629562826,0.012382149598548399,0.014059749472124822,-0.0033440832849342115,-0.0016341613099299095,-0.004688743218106479,-0.00788756985994674,-0.001705037782326934,-0.009306940538892429,-0.010097866332067489,-0.010005318847836139,-0.003144591200005209,-0.0060786104416479135,-0.0010206597002958002,0.0
2018-01-16,0.0019306864337481626,0.006815466932802548,0.0013779149146654858,0.0014956097237777812,0.006154075430332484,0.0046887504118115755,0.0017988963542927296,0.006556715453947177,-0.002888998748080524,-0.0049139974499490015,-0.004633346701696505,-0.005781420250789604,-0.0061109127206150846,-0.003706512015160664,-0.002218638143735019,0.012652758591322656,-0.006806036559802885,0.0
2018-01-17,-0.0004018077730657551,0.0010355378578802406,0.00019485399006751846,-0.0015438126302969467,0.00014253337978116287,-1.634410735509922e-05,-0.005345826444205586,-0.0038047325387756954,4.8439727665488495e-05,-0.004046009848572372,-0.0017072388719235215,-0.002050696483794257,-0.00136664442020467,0.0025150748300096044,-0.0014824410706685276,-0.0005932611039870412,-0.002913788615707846,0.0
