Strategy,Sharpe,Sortino,CAGR,MaxDD,Calmar,AnnVol,WinRate,TotalReturn
0. Equal Weight (1/N),0.9792736917852438,1.329507722300462,0.029168588180899402,-0.029175933813177624,0.9997482297456096,0.029814728180980365,0.5438813349814586,0.09669458945083464
1. Markowitz,0.9792736917852438,1.329507722300462,0.029168588180899402,-0.029175933813177624,0.9997482297456096,0.029814728180980365,0.5438813349814586,0.09669458945083464
2. Black-Litterman,0.35705963806831037,0.20635848165176288,0.010466842279802213,-0.03599876704565397,0.29075557689317716,0.030461314771243718,0.10012360939431397,0.033992219329651574
3. BL + Wavelet,0.12515644765876302,0.08421534573187778,0.0058396435340755115,-0.08014912458286372,0.07285972946639091,0.061591104211410584,0.13102595797280595,0.018868383569953462
5. BL + Wavelet + Régimes,0.16281796470170448,0.10901716578730175,0.007855456700359253,-0.07793305554304741,0.10079749402383155,0.05852095916642975,0.13597033374536466,0.02543813910167425
10. Full Ensemble + EP,0.30184587884055,0.3498674961128426,0.014354730931910975,-0.07452802207439013,0.19260850526239381,0.05164383536425117,0.5352286773794809,0.04681855677037294
