,AUDJPY=X,AUDUSD=X,EURGBP=X,EURJPY=X,EURUSD=X,GBPUSD=X,NZDJPY=X,NZDUSD=X,USDCAD=X,USDCHF=X,USDJPY=X,USDMXN=X,USDNOK=X,USDSEK=X,USDSGD=X,USDTRY=X,USDZAR=X,STRATEGY
2018-01-02,0.000618724280192761,-0.00013723990994114613,0.0008905401969089134,0.0014660361341718455,0.000481775834281662,-0.00038926558684358525,0.00019267484643350065,-0.0036054338118114253,-0.0020388209278465914,0.0011127134924471943,0.000980985844182048,-0.007938584927453385,-0.0011977597161054775,1.7192910369582786e-05,-7.48067262569263e-05,-0.0012326708151684789,0.005227613765901074,0.0
2018-01-03,-0.0002800554895116665,0.004217806092823561,-0.0019677028321176833,-0.0003007548449809314,0.0042480287032555806,0.006243504088375833,-0.002686341439754751,0.0017064646406109892,-0.00405805687884277,-0.0032485353473515203,-0.004606365725154936,-0.007633293660432772,-0.009058326267391007,-0.0026846415173535105,-0.005864340915920363,-0.006957644729669809,0.0037135928683371573,0.0
2018-01-04,0.00262082066987439,-0.0007013755582860451,0.0018157788138001131,-0.0012462220972936353,-0.004466573890655633,-0.006280237888910618,0.0016238874815911644,-0.0014014703940502353,0.003450885673779141,0.005942926845021137,0.0032919530410551187,-0.0024102691222117837,-0.001815257240844974,0.002977708284049833,0.0010383925392882798,0.0037521076237488353,-0.006212032642112574,0.0
2018-01-05,0.006245487496306089,0.00452491601115783,0.0016097830571078899,0.0065536062986573124,0.00479295571953875,0.003038490977078994,0.011221173678672609,0.009290873848530574,-0.00449915961157667,-0.0027080961107306825,0.0016208488448015152,-0.007016953723550512,-0.004771296679178976,-0.0058577279606937555,-0.0027359787250437195,-0.008253933069385988,-0.006181905688363864,0.0
2018-01-08,0.0029595411267518295,-0.00035056646442761655,-0.0041661858463853,0.0005823262761284211,-0.0026707696487497925,0.0016591005515375228,0.005384510346617595,0.00202447246127559,-0.00776203593053439,0.0007733739489409047,0.003347458924454206,0.0008152580291898911,-0.002926061353988323,0.0017362084196625698,-0.00020350395170554147,-0.005009612998094159,0.0004672375803369439,0.0
2018-01-09,-0.0018168316197431761,-0.0016449155389246088,-0.005187172906845798,-0.0056587572187173345,-0.005637017473711258,-0.0003773561609058236,0.0005236456878682419,0.0007054532044442792,0.001738653717509458,0.002465155334130455,-5.6955483140885134e-05,0.0026089041401720966,0.003967327364159052,0.007177695473785854,0.0038219800246952484,0.002863202296719492,0.006039574062075993,0.0
2018-01-10,-0.007791509206784354,-0.004761361945888011,-0.00059957815414992,-0.006894424529712449,-0.003506356163368695,-0.0029068059973729027,-0.007511071441080745,-0.004298632605553059,0.004732281708151858,0.006654451334131186,-0.003353749714304021,0.0008221938166602435,0.004842697463738217,0.003985268884780539,0.0033794169702252574,0.006317949640276378,-0.0035172715288177663,0.0
2018-01-11,-0.0069679847749609235,0.004695817662473,0.003619856287132446,-0.00941785379845794,0.0021769856511668637,-0.0014838276964011916,-0.0029747292329363835,0.008686143646982187,0.004613768040706994,-0.006135076354560274,-0.011569016099147067,-0.00260239383391383,-0.005439841870968136,-0.005221876556410961,-0.002095642414596033,0.007803878653831532,0.006884110451468074,0.0
2018-01-12,0.0036634444962120754,0.004908146050782535,0.004962938297729076,0.005818980252012331,0.007118432336343351,0.002115204602407011,0.006245093791240737,0.007546288104897898,-0.0009137941062247361,-0.0019292397945410028,-0.0012880446624297097,-0.009620561742925937,-0.007530068077797551,-0.008215151314364484,-0.0030075467625777508,-0.006852051033254424,-0.0034814460002778984,0.0
2018-01-15,0.0011891893755398447,0.0029295100271542903,-0.0016072176896151523,0.010702424899404097,0.012401990868389667,0.01407959074196609,-0.0033242420150929415,-0.0016143200400886397,-0.004668901948265209,-0.00786772859010547,-0.0016851965124856643,-0.009287099269051158,-0.010078025062226218,-0.009985477577994869,-0.003144591200005209,-0.006058769171806643,-0.0010008184304545302,0.0
2018-01-16,0.0019505277035894325,0.006835308202643818,0.0013977561845067556,0.001515450993619051,0.006173916700173755,0.004708591681652845,0.0018187376241339994,0.006576556723788447,-0.0028691574782392544,-0.004894156180107732,-0.004613505431855235,-0.0057615789809483346,-0.006091071450773815,-0.0036866707453193943,-0.002218638143735019,0.012672599861163925,-0.0067861952899616156,0.0
2018-01-17,-0.0003819665032244852,0.0010553791277215104,0.0002146952599087883,-0.0015239713604556769,0.00016237464962243274,3.497162486170627e-06,-0.005325985174364316,-0.0037848912689344254,6.828099750675834e-05,-0.004026168578731102,-0.0016873976020822517,-0.002030855213952987,-0.0013468031503634003,0.002534916099850874,-0.0014824410706685276,-0.0005734198341457714,-0.002893947345866576,0.0
2018-01-18,0.00918768266578711,0.00015466678999880165,-0.009242495729831839,0.0017738496025101482,-0.00718610433104394,0.002077742606027349,0.009566587889401696,0.0005549831556647296,0.0010018850273256603,0.006299737314128319,0.009008175284181519,-0.007072680598497328,0.0020098401233584707,0.002060334630363784,0.003931204064318017,0.004112275260371113,0.003986207993636793,0.0
2018-01-19,0.0010859769320550766,0.004174260680243113,-0.00044135644565103534,0.001136895053897248,0.004248755213156708,0.004783414815145897,0.00016619587114398838,0.003256483007116135,-0.0020945579059060866,-0.006411408381269899,-0.0030845580676212006,0.0016801099162512042,-0.004900906320314373,-0.0039747972425051865,-0.0035838338387629287,-0.013255672504280558,-0.015796061205818567,0.0
